g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P01421,CHM,300390,1940,DXS540; REP-1; TCD,CHM-related choroideremia,303100,,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,HP:0007893; HP:0000512; HP:0000529; HP:0001139; HP:0001133; HP:0001000; HP:0000662; HP:0001423; HP:0001150; HP:0200065; HP:0007994; HP:0000556; HP:0007945,1598901; 8477262; 1302003; 21905166; 12827496; 7981670; 27820636; 28271586; 27070432,DD; Eye,,2017-04-20 14:03:59+00:00
G2P01427,MAF,177075,6776,C-MAF,MAF-related cataract,610202,,monoallelic_autosomal,,definitive,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,undetermined,inferred,,HP:0000612; HP:0007976; HP:0000482; HP:0000006; HP:0007780,11772997; 16470690; 30659945; 29314435; 24664492,DD; Eye,,2025-01-09 09:12:07+00:00
G2P01429,PDE6H,601190,8790,,PDE6H-related retinal cone dystrophy,610024,,biallelic_autosomal,,strong,,3_prime_UTR_variant; 5_prime_UTR_variant,undetermined,inferred,,HP:0007641; HP:0000662; HP:0000639; HP:0000006; HP:0008020; HP:0000007; HP:0000613; HP:0007663,15629837; 22901948,DD; Eye,,2018-01-22 16:12:12+00:00
G2P01443,BBS12,610683,26648,C4ORF24; FLJ35630; FLJ41559,BBS12-related Bardet-Biedl syndrome,615989,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007707; HP:0001773; HP:0001162; HP:0000750; HP:0001513; HP:0000135; HP:0000518; HP:0001159; HP:0001712; HP:0002251; HP:0008734; HP:0000678; HP:0001263; HP:0000822; HP:0003812; HP:0001392; HP:0000505; HP:0000007; HP:0000548; HP:0002099; HP:0000510; HP:0000501; HP:0001626; HP:0002370; HP:0001829; HP:0000800; HP:0001080; HP:0001007; HP:0000077; HP:0000668; HP:0007401; HP:0009806; HP:0000639; HP:0010442; HP:0001156; HP:0000483; HP:0000365; HP:0002167; HP:0001251; HP:0000545; HP:0001328; HP:0000218; HP:0000028; HP:0000819; HP:0030010; HP:0000821; HP:0000137; HP:0001395; HP:0000054; HP:0000256; HP:0001249; HP:0000486; HP:0000008; HP:0009466; HP:0000148; HP:0002141; HP:0000556,19797195; 20827784; 17160889; 26082521,DD; Eye,,2025-01-21 22:06:28+00:00
G2P01460,SLC33A1,603690,95,ACATN; AT-1; AT1; SPG42,SLC33A1-related congenital cataracts and hearing loss with low serum copper and ceruloplasmin,614482,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,,DD; Eye,,2015-07-22 16:15:29+00:00
G2P01467,TDRD7,611258,30831,PCTAIRE2BP,TDRD7-related cataract with or without azoospermia,613887,,biallelic_autosomal,,moderate,uncertain; absent gene product,frameshift_variant; stop_gained,undetermined,inferred,,HP:0001118; HP:0003251; HP:0000007; HP:0011961; HP:0000501,21436445; 28418495; 31048812,DD; Eye,,2015-07-22 16:15:31+00:00
G2P01481,RAB3GAP1,602536,17063,KIAA0066; RAB3GAP; RAB3GAP130; WARBM1,RAB3GAP1-related Warburg micro syndrome,600118,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000939; HP:0001347; HP:0004322; HP:0002059; HP:0002219; HP:0000482; HP:0002079; HP:0000007; HP:0000490; HP:0000648; HP:0000400; HP:0003241; HP:0001382; HP:0001252; HP:0001264; HP:0001274; HP:0001845; HP:0001321; HP:0000028; HP:0001508; HP:0002751; HP:0001249; HP:0000568; HP:0000252; HP:0000347; HP:0000508,15216543; 15696165; 20512159; 10465117; 29675078,DD; Eye,,2019-10-04 11:40:38+00:00
G2P01484,SDCCAG8,613524,10671,BBS16; CCCAP; NPHP10; NY-CO-8; SLSN7,SDCCAG8-related Senior-Loken syndrome,613615,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002098; HP:0000618; HP:0000107; HP:0001513; HP:0000135; HP:0000083; HP:0000546; HP:0000110; HP:0001263; HP:0000104; HP:0000007; HP:0000510; HP:0000090; HP:0003241; HP:0002205; HP:0011950; HP:0100543; HP:0001249; HP:0000556; HP:0000403,20835237; 22626039,DD; Eye,,2017-09-15 19:43:32+00:00
G2P01487,PTCH1,601309,9585,BCNS; NBCCS; PTCH,PTCH1-related Gorlin syndrome (basal cell nevus syndrome),109400,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002650; HP:0000707; HP:0000204; HP:0002885; HP:0003011; HP:0001144; HP:0000612; HP:0000478; HP:0010603; HP:0040064; HP:0000175; HP:0200021; HP:0001425; HP:0002937; HP:0002664; HP:0010044; HP:0001056; HP:0025031; HP:0000238; HP:0000518; HP:0000912; HP:0005462; HP:0002007; HP:0000006; HP:0004280; HP:0004795; HP:0000501; HP:0001626; HP:0002414; HP:0002671; HP:0000242; HP:0010618; HP:0005815; HP:0000773; HP:0000924; HP:0005449; HP:0000892; HP:0010442; HP:0000766; HP:0010612; HP:0000303; HP:0001270; HP:0000119; HP:0001574; HP:0002751; HP:0002948; HP:0003828; HP:0000280; HP:0000256; HP:0008422; HP:0001249; HP:0000568; HP:0000486; HP:0000316; HP:0000431; HP:0010610; HP:0009729; HP:0010609; HP:0010617; HP:0000152,22572734; 8658145; 8681379; 12900905,DD; Eye; Skin; Cancer,,2018-01-22 17:16:17+00:00
G2P01498,MYH9,160775,7579,DFNA17; EPSTS; FTNS; MHA; NMHC-II-A; NMMHCA,MYH9-related macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,155100,,monoallelic_autosomal,,definitive,absent gene product; altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,undetermined,inferred,,HP:0003774; HP:0000478; HP:0001977; HP:0000790; HP:0000978; HP:0000408; HP:0000518; HP:0000421; HP:0002239; HP:0000822; HP:0003010; HP:0000006; HP:0001658; HP:0000123; HP:0002907; HP:0008619; HP:0005101; HP:0000132; HP:0003621; HP:0001892; HP:0000079; HP:0001873; HP:0008264; HP:0001757; HP:0001902; HP:0000093,25077172; 10973259,DD; Eye,,2020-10-07 11:58:52+00:00
G2P01506,COL4A4,120131,2206,CA44,COL4A4-related Alport syndrome,203780,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0011501; HP:0000545; HP:0200020; HP:0000822; HP:0003774; HP:0000093; HP:0000790; HP:0000365; HP:0000007; HP:0003676; HP:0001425; HP:0000100; HP:0000123; HP:0000518,9269635; 7987396,DD; Eye; Skin,,2025-01-27 14:55:01+00:00
G2P01511,GJA1,121014,4274,CX43; GJAL; ODD; ODDD; ODOD; SDTY3,GJA1-related oculodentodigital dysplasia,164200,,biallelic_autosomal,,definitive,absent gene product; altered gene product structure,missense_variant; stop_gained,undetermined,inferred,,HP:0001159; HP:0007930; HP:0000482; HP:0000568; HP:0006297; HP:0005769; HP:0000682; HP:0007968; HP:0006482; HP:0000007; HP:0000430; HP:0000668; HP:0000501; HP:0000670; HP:0005768; HP:0010705; HP:0005622,16816024; 12457340; 29902798; 15512999; 14974090; 20597923; 23606748; 36396593,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:32+00:00
G2P01513,COL2A1,120140,2200,AOM; SEDC; STL1,COL2A1-related spondyloepiphyseal dysplasia congenita,183900,,monoallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0002650; HP:0003300; HP:0002318; HP:0010501; HP:0002098; HP:0000655; HP:0000175; HP:0000926; HP:0001552; HP:0003071; HP:0000470; HP:0000541; HP:0008800; HP:0002091; HP:0008857; HP:0002996; HP:0000006; HP:0000007; HP:0008142; HP:0002515; HP:0001762; HP:0001252; HP:0008788; HP:0000545; HP:0002938; HP:0002808; HP:0003311; HP:0002827; HP:0000768; HP:0000272; HP:0002812,2543071; 2339128; 8325895; 8423604; 25060605; 26358419; 26626311; 26443184; 1353665; 7738948; 7847372; 7866404; 8019561; 8244341; 8723097; 8877930,DD; Eye; Skeletal,,2023-05-24 09:07:32+00:00
G2P01514,IFIH1,606951,18873,HLCD; IDDM19; MDA-5; MDA5,IFIH1-related Singleton-Merten syndrome,182250,,monoallelic_autosomal,restricted mutation set,strong,altered gene product structure,,gain of function,inferred,,HP:0006386; HP:0000939; HP:0004322; HP:0003182; HP:0004380; HP:0001650; HP:0005303; HP:0006112; HP:0001806; HP:0002673; HP:0004325; HP:0000006; HP:0000706; HP:0000501; HP:0002515; HP:0001762; HP:0006353; HP:0000670; HP:0001252; HP:0002205; HP:0001761; HP:0000327; HP:0001324; HP:0002857; HP:0009771; HP:0000545; HP:0001682; HP:0001640; HP:0004382; HP:0002827; HP:0008102; HP:0006232; HP:0001635; HP:0000992,25620204; 28319323,DD; Eye; Skeletal,,2023-05-24 09:07:32+00:00
G2P01519,COL11A1,120280,2186,CO11A1; COLL6; DFNA37; STL2,COL11A1-related Stickler syndrome,604841,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0002986; HP:0004327; HP:0000463; HP:0000286; HP:0000175; HP:0000655; HP:0000926; HP:0003040; HP:0003031; HP:0002688; HP:0004322; HP:0000518; HP:0006200; HP:0000541; HP:0005462; HP:0005280; HP:0002673; HP:0000006; HP:0000565; HP:0000501; HP:0012284; HP:0004646; HP:0012283; HP:0001382; HP:0002655; HP:0100250; HP:0100866; HP:0100807; HP:0001166; HP:0003196; HP:0000545; HP:0003828; HP:0000407; HP:0002684; HP:0000193; HP:0000272; HP:0000938; HP:0000316; HP:0000201; HP:0000343; HP:0001132; HP:0000347; HP:0000369,10573014; 8872475; 27081569; 25091507; 22499343; 10486316; 25073711; 9529347; 17236192,DD; Eye; Skeletal,,2023-05-24 09:07:32+00:00
G2P01521,ERCC1,126380,3433,RAD10,ERCC1-related cerebrooculofacioskeletal syndrome,610758,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,23623389; 17273966,DD; Eye,,2018-01-21 22:38:17+00:00
G2P01528,MCOLN1,605248,13356,ML4; MLIV; MST080; MSTP080; TRPM-L1; TRPML1,MCOLN1-related mucolipidosis IV,252650,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003593; HP:0011020; HP:0006989; HP:0003487; HP:0001272; HP:0001347; HP:0007893; HP:0000007; HP:0000648; HP:0001252; HP:0004345; HP:0007759; HP:0000613; HP:0001332; HP:0001438; HP:0001344; HP:0001249; HP:0000486; HP:0000654; HP:0000252; HP:0007281; HP:0007266; HP:0002510,10441585; 15523648; 10973263; 11030752; 17239335,DD; Eye,,2017-08-29 09:24:23+00:00
G2P01554,LRP5,603506,6697,BMND1; EVR1; EVR4; HBM; LR3; LRP7; OPPG; OPS; OPTA1; VBCH2,LRP5-related osteoporosis-pseudoglioma syndrome on a spectrum with FEVR with osteopenia,259770,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001256; HP:0000618; HP:0002756; HP:0000939; HP:0000926; HP:0001552; HP:0004322; HP:0000518; HP:0007773; HP:0000007; HP:0000667; HP:0008037; HP:0001382; HP:0001252; HP:0003016; HP:0002659; HP:0001629; HP:0001089; HP:0002751; HP:0000568; HP:0000252,11719191; 20034086; 15346351; 16679074; 16929062; 17353424; 17437160; 18825883,DD; Eye; Skeletal,,2023-08-04 10:23:26+00:00
G2P01555,PAX6,607108,8620,AN; AN1; AN2; D11S812E; WAGR,PAX6-related aniridia,106210,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000588; HP:0007819; HP:0000609; HP:0000526; HP:0007750; HP:0000518; HP:0000541; HP:0000505; HP:0000006; HP:0000007; HP:0000501; HP:0006934; HP:0000491; HP:0007957; HP:0000639; HP:0001321; HP:0001251; HP:0007759; HP:0001249,7668281; 15629294; 9931324; 12721955; 17595013; 17148041,DD; Eye,,2025-01-27 14:59:03+00:00
G2P01563,FBN1,134797,3603,FBN; MASS; MFS1; OCTD; SGS; WMS,FBN1-related Weill-Marchesani syndrome,608328,,monoallelic_autosomal,,strong,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,undetermined,inferred,,HP:0002650; HP:0001083; HP:0011003; HP:0001643; HP:0000618; HP:0000586; HP:0001256; HP:0001519; HP:0000594; HP:0001169; HP:0001653; HP:0000518; HP:0001650; HP:0000248; HP:0005280; HP:0000006; HP:0000501; HP:0002682; HP:0000327; HP:0001230; HP:0003416; HP:0001387; HP:0003508; HP:0001156; HP:0001783; HP:0001634; HP:0000766; HP:0006482; HP:0001629; HP:0002938; HP:0001065; HP:0001642; HP:0000692; HP:0009768; HP:0001724; HP:0000885; HP:0000189; HP:0002753,8406497; 12525539; 23897642; 37734846; 34075901; 28696036; 25142510; 22242013,DD; Eye; Skin; Skeletal,,2024-08-20 14:20:07+00:00
G2P01574,COL4A3,120070,2204,,COL4A3-related Alport syndrome,104200,,monoallelic_autosomal,potential secondary finding,definitive,absent gene product,,loss of function,inferred,,HP:0000407; HP:0000100; HP:0000099; HP:0000545; HP:0000121; HP:0000822; HP:0003774; HP:0000790; HP:0000006; HP:0003676; HP:0002148; HP:0004722; HP:0002157; HP:0001134; HP:0001142; HP:0000093,11134255; 9269635; 11044206; 11961012; 17396119; 17942953; 18439107; 20177710; 25229338; 25450602; 25888712; 29089023; 29742505; 30661074; 30881523; 34589218,DD; Eye; Skin,,2025-01-27 14:54:32+00:00
G2P01580,FRAS1,607830,19185,FLJ14927; FLJ22031; KIAA1500,FRAS1-related Fraser syndrome,219000,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000204; HP:0000452; HP:0000618; HP:0004112; HP:0000528; HP:0002244; HP:0007633; HP:0001126; HP:0008678; HP:0000175; HP:0000089; HP:0004378; HP:0000057; HP:0000430; HP:0001362; HP:0000689; HP:0008609; HP:0000238; HP:0000636; HP:0006610; HP:0008559; HP:0010554; HP:0005280; HP:0000678; HP:0001607; HP:0000413; HP:0002084; HP:0005352; HP:0000007; HP:0006714; HP:0001627; HP:0000377; HP:0002536; HP:0000183; HP:0000047; HP:0007957; HP:0001602; HP:0000378; HP:0009601; HP:0003183; HP:0000405; HP:0007993; HP:0005950; HP:0000028; HP:0002089; HP:0002475; HP:0007925; HP:0000445; HP:0002223; HP:0009767; HP:0000054; HP:0002006; HP:0001249; HP:0000431; HP:0000316; HP:0000813; HP:0001551; HP:0000561; HP:0000148; HP:0000252; HP:0005325; HP:0000369; HP:0000777,18203166; 16894541; 18671281; 12766769; 17163535; 15838507; 22029163; 23473829; 26043503; 27341656; 27624506; 31999076; 35181022; 35595450,DD; Eye,,2025-01-27 23:02:42+00:00
G2P01585,SALL4,607343,15924,DJ1112F19.1; ZNF797,SALL4-related Duane-Radial ray syndrome,607323,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002650; HP:0006501; HP:0000480; HP:0008998; HP:0000452; HP:0009921; HP:0009016; HP:0000612; HP:0000286; HP:0000076; HP:0004378; HP:0008953; HP:0002973; HP:0000143; HP:0000542; HP:0003063; HP:0006064; HP:0000487; HP:0002974; HP:0009486; HP:0001159; HP:0000518; HP:0006248; HP:0000086; HP:0000544; HP:0002949; HP:0002996; HP:0000104; HP:0000006; HP:0001227; HP:0001852; HP:0030241; HP:0000377; HP:0010438; HP:0001974; HP:0000365; HP:0009601; HP:0011994; HP:0001873; HP:0010026; HP:0000619; HP:0001199; HP:0100258; HP:0008588; HP:0003298; HP:0001498; HP:0003828; HP:0000324; HP:0000453; HP:0007766; HP:0000407; HP:0005776; HP:0000634; HP:0000486; HP:0000085; HP:0000316; HP:0000568; HP:0002025; HP:0000126; HP:0008572; HP:0003974; HP:0004712,12395297; 12393809; 26791099; 17256792,DD; Eye; Skeletal,,2023-05-24 09:07:32+00:00
G2P01591,RAB18,602207,14244,,RAB18-related Warburg micro syndrome,614222,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002126; HP:0001264; HP:0005484; HP:0001263; HP:0000426; HP:0000044; HP:0007686,21473985; 29300443; 26063829,DD; Eye,,2019-10-04 11:37:49+00:00
G2P01599,GMPPA,615495,22923,,"GMPPA-related alacrima, achalasia and intellectual disability",615510,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,24035193; 35665995,DD; Eye,,2015-07-22 16:15:38+00:00
G2P01601,TPP1,607998,2073,CLN2; LPIC; SCAR7; TPP-1,TPP1-related neuronal ceroid lipofuscinosis,204500,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001311; HP:0000546; HP:0000529; HP:0002059; HP:0000550; HP:0003463; HP:0003205; HP:0000007; HP:0000750; HP:0001251; HP:0002074; HP:0001336; HP:0002376; HP:0001250,12376936; 10330339; 17959406; 12414822; 9295267; 10665500,DD; Eye,,2015-07-22 16:15:38+00:00
G2P01607,CISD2,611507,24212,ERIS; MINER1; NAF-1; WFS2; ZCD2,CISD2-related Wolfram syndrome,604928,,biallelic_autosomal,potential secondary finding,definitive,absent gene product,,loss of function,inferred,,HP:0001757; HP:0030402; HP:0000407; HP:0004398; HP:0000716; HP:0001892; HP:0000007; HP:0002592; HP:0001138; HP:0000648; HP:0008320; HP:0000819,17846994; 25056293; 28335035; 10739754,DD; Eye,,2022-08-03 12:03:25+00:00
G2P01611,KAT6B,605880,17582,MORF; MOZ2; MYST4; QKF; QUERKOPF; ZC2HC6B,KAT6B-related genitopatellar syndrome,606170,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0007165; HP:0003175; HP:0008694; HP:0002974; HP:0001601; HP:0001263; HP:0000007; HP:0002209; HP:0001762; HP:0006380; HP:0001252; HP:0001274; HP:0000494; HP:0006887; HP:0000684; HP:0000365; HP:0006443; HP:0001561; HP:0002999; HP:0001629; HP:0000028; HP:0008665; HP:0009803; HP:0002089; HP:0000003; HP:0000445; HP:0001631; HP:0000448; HP:0002015; HP:0000054; HP:0003273; HP:0000280; HP:0000126; HP:0001374; HP:0000426; HP:0000252; HP:0008823; HP:0000347; HP:0000046,22265014; 31871732; 30569622; 29226580; 28426343; 26370006; 25424711; 30900427; 28696035; 22265017; 36517295,DD; Eye; Skeletal,,2023-05-24 09:07:33+00:00
G2P01617,PLOD1,153454,9081,LH1; LLH; PLOD,"PLOD1-related Ehlers-Danlos syndrome, kyphoscoliotic type",225400,MONDO:0016002,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001788; HP:0000707; HP:0003011; HP:0000618; HP:0001519; HP:0000478; HP:0000286; HP:0040064; HP:0000978; HP:0000939; HP:0000098; HP:0001871; HP:0005952; HP:0025031; HP:0002093; HP:0001558; HP:0001388; HP:0000015; HP:0000541; HP:0002239; HP:0005280; HP:0006532; HP:0000592; HP:0000482; HP:0000678; HP:0001290; HP:0007517; HP:0000007; HP:0001197; HP:0001763; HP:0000501; HP:0002715; HP:0001626; HP:0001762; HP:0000993; HP:0001252; HP:0000924; HP:0000963; HP:0001166; HP:0000563; HP:0000545; HP:0002808; HP:0001270; HP:0000119; HP:0001574; HP:0002086; HP:0001939; HP:0003549; HP:0000974; HP:0025019; HP:0000977; HP:0008458; HP:0001507; HP:0001635; HP:0000023; HP:0001373; HP:0000152,8163671; 5016372; 9450904; 1345174; 8449506; 15666309,DD; Eye; Skin,,2018-09-03 15:21:57+00:00
G2P01631,CREBBP,600140,2348,CBP; KAT3A; RSTS; RTS,CREBBP-related Rubinstein-Taybi syndrome,180849,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000574; HP:0009921; HP:0000160; HP:0000733; HP:0006297; HP:0000589; HP:0002144; HP:0002700; HP:0001425; HP:0010562; HP:0001388; HP:0006483; HP:0001601; HP:0002251; HP:0000490; HP:0002236; HP:0000377; HP:0001250; HP:0001007; HP:0000579; HP:0001956; HP:0010775; HP:0009117; HP:0002750; HP:0002999; HP:0001335; HP:0001508; HP:0003828; HP:0011675; HP:0001249; HP:0100710; HP:0000539; HP:0001643; HP:0000286; HP:0002880; HP:0001371; HP:0002317; HP:0008897; HP:0001347; HP:0000717; HP:0004411; HP:0002870; HP:0002353; HP:0001763; HP:0002183; HP:0002370; HP:0001274; HP:0002553; HP:0000494; HP:0000767; HP:0003745; HP:0000527; HP:0000028; HP:0000736; HP:0000431; HP:0000444; HP:0000750; HP:0000689; HP:0004322; HP:0001159; HP:0000756; HP:0010055; HP:0000678; HP:0002007; HP:0003083; HP:0000501; HP:0000954; HP:0001252; HP:0000049; HP:0001212; HP:0000047; HP:0003319; HP:0000365; HP:0000752; HP:0005306; HP:0002697; HP:0000218; HP:0005743; HP:0003298; HP:0001631; HP:0000486; HP:0000270; HP:0000957; HP:0000742; HP:0000252; HP:0000520; HP:0000347; HP:0000508; HP:0000369; HP:0002650; HP:0011304; HP:0002162; HP:0002866; HP:0005895; HP:0009765; HP:0000481; HP:0000294; HP:0000518; HP:0000006; HP:0001042; HP:0008107; HP:0000273; HP:0000077; HP:0002019; HP:0000327; HP:0000136; HP:0004209; HP:0010442; HP:0001561; HP:0010314; HP:0001629; HP:0002788; HP:0002869; HP:0001135; HP:0000278; HP:0011087; HP:0009715; HP:0010066; HP:0000260; HP:0008872,11331617; 7630403; 12566391; 12114483; 20684013; 27311832; 29460469; 30737887; 16021471; 17052327; 17473832; 19852432; 20583168; 20689175; 20717166; 20949605; 23432975; 25388907; 25476429; 26275701; 26603346; 26956253; 27165009; 27342041; 29132461; 29745126,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:33+00:00
G2P01636,TSC2,191092,12363,LAM; PPP1R160; TSC4; TUBERIN,TSC2-related tuberous sclerosis,613254,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0010762; HP:0000107; HP:0009718; HP:0009716; HP:0002514; HP:0000717; HP:0009717; HP:0000169; HP:0003812; HP:0009724; HP:0009734; HP:0002888; HP:0000006; HP:0009727; HP:0009594; HP:0001482; HP:0009592; HP:0006772; HP:0011097; HP:0001716; HP:0000826; HP:0010615; HP:0001328; HP:0011798; HP:0000821; HP:0009721; HP:0001249; HP:0007018; HP:0000957; HP:0009729; HP:0005584; HP:0009720,7581393; 10069705; 10206124; 19259131; 17120248; 9361032; 9302281; 8825048; 8824881; 9463313; 8634701; 12752578; 11403047; 12192641,DD; Eye; Skin; Cancer,,2017-09-01 16:19:16+00:00
G2P01638,ACTG1,102560,144,ACTG; DFNA20; DFNA26,ACTG1-related Baraitser-Winter syndrome,614583,MONDO:0013812,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,gain of function,inferred,,HP:0001155; HP:0000598; HP:0000366; HP:0000589; HP:0000465; HP:0011844; HP:0004322; HP:0000470; HP:0001760; HP:0000248; HP:0000219; HP:0001263; HP:0003812; HP:0004298; HP:0000159; HP:0000202; HP:0000006; HP:0001339; HP:0000243; HP:0001167; HP:0000377; HP:0002817; HP:0001250; HP:0000307; HP:0001274; HP:0002553; HP:0005484; HP:0000365; HP:0011389; HP:0000929; HP:0000154; HP:0002119; HP:0011343; HP:0000179; HP:0000271; HP:0000364; HP:0000407; HP:0000153; HP:0001249; HP:0000492; HP:0000316; HP:0000568; HP:0000343; HP:0000177; HP:0000252; HP:0004299; HP:0000508; HP:0011297; HP:0000637; HP:0002500,22366783; 25052316; 27096712; 27240540; 29024830,DD; Eye,,2015-07-22 16:15:41+00:00
G2P01649,KIAA0586,610178,19960,JBTS23; TALPID3,KIAA0586-related Joubert syndrome,614615,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001321,26026149; 26437029; 26096313; 26166481; 26386044; 30120217; 32080096; 36538006,DD; Eye,,2015-11-30 16:56:36+00:00
G2P01653,AHI1,608894,21575,FLJ20069; JBTS3; ORF1,AHI1-related Joubert syndrome,608629,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000657; HP:0000505; HP:0000007; HP:0002871; HP:0003676; HP:0000510; HP:0001320; HP:0000090; HP:0002419; HP:0002790; HP:0000662; HP:0000639; HP:0002474; HP:0011462; HP:0001251; HP:0001270; HP:0000512; HP:0000580; HP:0001249; HP:0000508; HP:0000556,16453322; 25356976; 28442542; 15467982; 16155189; 16240161; 25616960,DD; Eye,,2025-01-27 09:43:15+00:00
G2P01664,TINF2,604319,11824,TIN2,TINF2-related exudative retinopathy with bone marrow failure,268130,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,18252230,DD; Eye,,2017-08-31 15:27:57+00:00
G2P01672,XYLT2,608125,15517,PXYLT2; XT-II,XYLT2-related spondyloocular syndrome,605822,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000646; HP:0000939; HP:0000465; HP:0004322; HP:0010511; HP:0000518; HP:0000541; HP:0001646; HP:0003084; HP:0000007; HP:0000765; HP:0001763; HP:0008619; HP:0003550; HP:0000639; HP:0100807; HP:0003312; HP:0001634; HP:0001631; HP:0000072; HP:0002953; HP:0002753,26027496; 26987875; 29136277; 28884924,DD; Eye; Skeletal,,2023-05-24 09:07:33+00:00
G2P01681,ALDH18A1,138250,9722,GSAS; P5CS; PYCS; SPG9,ALDH18A1-related cutis laxa,616603,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,gain of function,inferred,,HP:0001511; HP:0000973; HP:0000411; HP:0000337; HP:0100678; HP:0001348; HP:0001263; HP:0000006; HP:0001659; HP:0000325; HP:0001762; HP:0001252; HP:0007957; HP:0100790; HP:0011968; HP:0001181; HP:0002677; HP:0002827; HP:0000486; HP:0000938; HP:0000270; HP:0000122; HP:0000252; HP:0000369; HP:0002645,26320891; 28228640; 26829900,DD; Eye,,2025-01-21 11:57:51+00:00
G2P01686,RTN4IP1,610502,18647,NIMP,"RTN4IP1-related optic atrophy with or without ataxia, intellectual developmental disorder, and seizures",616732,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000543; HP:0001249; HP:0000505; HP:0000007; HP:0000551; HP:0001251; HP:0000648; HP:0000613; HP:0002197; HP:0000649,26593267,DD; Eye,,2016-01-08 10:22:05+00:00
G2P01709,PUF60,604819,17042,FIR; ROBPI; SIAHBP1,PUF60-related Verheij syndrome,615583,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001780; HP:0001155; HP:0000525; HP:0000612; HP:0000366; HP:0000534; HP:0000998; HP:0011844; HP:0004322; HP:0001760; HP:0001263; HP:0000309; HP:0001167; HP:0002817; HP:0000951; HP:0000929; HP:0000290; HP:0000271; HP:0000153; HP:0011297,27804958; 28327570; 28074499; 28471317; 30078240; 30352594; 30569551; 32851780; 35399315; 36367278; 37303278; 37994138; 38110042,DD; Eye,,2016-11-22 15:43:56+00:00
G2P01724,EMC1,616846,28957,KIAA0090,"EMC1-related global developmental delay, hypotonia, scoliosis, and cerebellar atrophy",616875,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0002650; HP:0008936; HP:0000750; HP:0000540; HP:0001272; HP:0007371; HP:0000649; HP:0002059; HP:0001265; HP:0000322; HP:0001263; HP:0000006; HP:0000007; HP:0003676; HP:0000565; HP:0000490; HP:0002509; HP:0001212; HP:0005484; HP:0000483; HP:0000512; HP:0100704; HP:0001249; HP:0000278; HP:0003577; HP:0000212,23105016; 28327206; 26942288; 29271071; 32092440; 36799557; 37187958; 38161285,DD; Eye,,2019-11-22 10:55:18+00:00
